card_strategy,season,cards,graded,wins,losses,hit_rate,net_units,roi_per_card,max_drawdown_units
hgb_under_3p5_high_total_3leg_top1_nonoverlap,2018,13,13,3,10,0.23076923076923078,7.8737791134485375,0.6056753164191183,-8.0
hgb_under_3p5_high_total_3leg_top1_nonoverlap,2019,11,11,1,10,0.09090909090909091,-4.0420736288504875,-0.367461238986408,-10.0
hgb_under_3p5_high_total_3leg_top1_nonoverlap,2020,8,8,1,7,0.125,-1.0420736288504875,-0.13025920360631094,-4.0
hgb_under_3p5_high_total_3leg_top1_nonoverlap,2021,14,14,3,11,0.21428571428571427,6.873779113448538,0.4909842223891813,-9.0
hgb_under_3p5_high_total_3leg_top1_nonoverlap,2022,13,13,2,11,0.15384615384615385,0.915852742299025,0.07045021094607885,-4.0
hgb_under_3p5_high_total_3leg_top1_nonoverlap,2023,7,7,2,5,0.2857142857142857,6.915852742299025,0.987978963185575,-3.0
hgb_under_3p5_high_total_3leg_top1_nonoverlap,2024,11,11,4,7,0.36363636363636365,16.83170548459805,1.530155044054368,-2.0
hgb_under_5p0_consensus_2leg_top1_nonoverlap,2017,13,13,4,9,0.3076923076923077,1.578512396694217,0.12142403051493976,-7.0
hgb_under_5p0_consensus_2leg_top1_nonoverlap,2018,14,14,7,7,0.5,11.512396694214878,0.822314049586777,-4.0
hgb_under_5p0_consensus_2leg_top1_nonoverlap,2019,14,14,2,12,0.14285714285714285,-6.710743801652892,-0.4793388429752066,-8.355371900826446
hgb_under_5p0_consensus_2leg_top1_nonoverlap,2020,14,14,4,10,0.2857142857142857,0.578512396694217,0.041322314049586924,-5.0
hgb_under_5p0_consensus_2leg_top1_nonoverlap,2021,14,14,2,12,0.14285714285714285,-6.7107438016528915,-0.4793388429752065,-9.0
hgb_under_5p0_consensus_2leg_top1_nonoverlap,2022,12,12,7,5,0.5833333333333334,13.512396694214878,1.1260330578512399,-2.0
hgb_under_5p0_high_total_2leg_top1_nonoverlap,2016,11,11,4,7,0.36363636363636365,3.578512396694217,0.32531930879038334,-4.0
hgb_under_5p0_high_total_2leg_top1_nonoverlap,2017,12,12,5,7,0.4166666666666667,6.223140495867771,0.5185950413223143,-3.0
hgb_under_5p0_high_total_2leg_top1_nonoverlap,2018,13,13,6,7,0.46153846153846156,8.867768595041326,0.6821360457724097,-6.0
hgb_under_5p0_high_total_2leg_top1_nonoverlap,2019,12,12,3,9,0.25,-1.0661157024793373,-0.08884297520661144,-7.0
hgb_under_5p0_high_total_2leg_top1_nonoverlap,2020,11,11,3,8,0.2727272727272727,-0.06611570247933729,-0.006010518407212481,-3.0
hgb_under_5p0_high_total_2leg_top1_nonoverlap,2021,14,14,5,9,0.35714285714285715,4.223140495867771,0.30165289256198363,-6.0
hgb_under_5p0_high_total_2leg_top1_nonoverlap,2022,13,13,6,7,0.46153846153846156,8.867768595041325,0.6821360457724096,-2.0
hgb_under_5p0_high_total_2leg_top1_nonoverlap,2023,7,7,1,6,0.14285714285714285,-3.3553719008264458,-0.4793388429752065,-5.0
hgb_under_5p0_high_total_2leg_top1_nonoverlap,2024,10,10,3,7,0.3,0.9338842975206627,0.09338842975206627,-4.0
